scope,family,alpha,n,median_normalized_mountain_objective,median_normalized_centroid_gain,median_base_pair_f1,median_normalized_squared_mountain_distance,median_predicted_pair_count,median_median_selected_pair_bpp,median_fraction_selected_pair_bpp_below_0.01,median_hybrid_seconds,fraction_identical_to_alpha_0,fraction_identical_to_alpha_1
family,tmRNA,0.75,10,0.002075574617176363,0.338043629627713,0.45718013232690335,0.01402410468793717,58.0,0.9062482802528518,0.0,0.6394011150000001,0.1,0.6
all,all_families,0.9090909090909091,21254,0.0011919311421328708,0.4102015554857157,0.7169811320754716,0.007252597614043397,26.0,0.9238397130372259,0.0,0.0132921995,0.0363225745741978,0.9196857062200057
family,16S_rRNA,0.9090909090909091,182,0.001708095047329031,0.3586749464963638,0.7272727272727273,0.002289688333619682,74.0,0.8610779960026682,0.0,0.571485168,0.0,0.8626373626373627
family,5S_rRNA,0.9090909090909091,11302,0.001016083012911228,0.39524481888155505,0.7123287671232876,0.006461670409407309,34.0,0.9139471864315118,0.0,0.016542105,0.005839674393912582,0.9015218545390197
family,RNaseP,0.9090909090909091,36,0.0015497317617483737,0.41199113696294803,0.5827814569536424,0.007799835191947967,69.5,0.9467824978458788,0.0,0.6573797219999999,0.0,0.7222222222222222
family,SRP,0.9090909090909091,407,0.0006976917343068344,0.4599770108570425,0.6355140186915887,0.008609944099163224,69.0,0.9473379055674183,0.0,0.699081517,0.0343980343980344,0.8968058968058968
family,group_I_intron,0.9090909090909091,83,0.0006752001760715858,0.38214658424384573,0.6554621848739496,0.004707121786767804,71.0,0.9218084784417454,0.0,0.574036344,0.0,0.927710843373494
family,tRNA,0.9090909090909091,9234,0.0014595395835622228,0.42511136204096156,0.7272727272727273,0.007939428992060571,22.0,0.9295770603662067,0.0,0.002781504,0.07483214208360407,0.9449859215941088
family,tmRNA,0.9090909090909091,10,0.002362807846590211,0.338043629627713,0.45718013232690335,0.013548106171062443,58.0,0.9062482802528518,0.0,0.6302247114999999,0.1,0.7
all,all_families,1.0,21254,0.0012270393172005656,0.4102015554857157,0.7164179104477612,0.007341404931766378,26.0,0.9245672050824534,0.0,0.013275314,0.03627552460713278,1.0
family,16S_rRNA,1.0,182,0.0017608854010971195,0.3586749464963638,0.7272727272727273,0.002289688333619682,74.0,0.8624631109994689,0.0,0.56712184,0.0,1.0
family,5S_rRNA,1.0,11302,0.0010466788665822878,0.39524481888155505,0.7123287671232876,0.006719121858173785,34.0,0.9153886944190419,0.0,0.016516115499999998,0.005839674393912582,1.0
family,RNaseP,1.0,36,0.0015497317617483737,0.41199113696294803,0.5827814569536424,0.008556998881616746,69.5,0.9467824978458788,0.0,0.674727245,0.0,1.0
family,SRP,1.0,407,0.0007028642897168583,0.4599770108570425,0.6355140186915887,0.008609944099163224,69.0,0.947552677323909,0.0,0.694371326,0.0343980343980344,1.0
family,group_I_intron,1.0,83,0.0006752001760715858,0.38214658424384573,0.6554621848739496,0.004793747410233329,70.0,0.9241555731781812,0.0,0.59945086,0.0,1.0
family,tRNA,1.0,9234,0.0014930684272571595,0.42511473408910416,0.7272727272727273,0.007939428992060571,22.0,0.9302181508630125,0.0,0.0027808345,0.07472384665367121,1.0
family,tmRNA,1.0,10,0.002362807846590211,0.338043629627713,0.45718013232690335,0.021358617810341762,57.0,0.907044923092136,0.0,0.63680722,0.1,1.0
