dataset_scope,group,alpha,endpoint_alpha,n,median_delta_base_pair_f1,q1_delta_base_pair_f1,q3_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,q1_delta_nmsmd,q3_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd,median_delta_normalized_mountain_objective,q1_delta_normalized_mountain_objective,q3_delta_normalized_mountain_objective,median_delta_normalized_centroid_gain,q1_delta_normalized_centroid_gain,q3_delta_normalized_centroid_gain,median_delta_fraction_selected_pair_bpp_below_0.01,q1_delta_fraction_selected_pair_bpp_below_0.01,q3_delta_fraction_selected_pair_bpp_below_0.01,fraction_identical_to_endpoint
all,16S_rRNA,0.0002999100269919024,0.0,182,0.10161204311009514,0.046358984765234826,0.17294520547945208,0.9340659340659341,0.04395604395604396,-2.2825749532398142e-05,-6.347317079766115e-05,3.413160489023774e-05,0.6153846153846154,0.016483516483516484,9.530935264345784e-06,5.770615955792777e-06,1.8472930347260238e-05,0.14573790552960064,0.10395526445144494,0.2170388201133654,-0.14460182145504605,-0.2692691740622748,-0.09090909090909091,0.016483516483516484
all,16S_rRNA,0.0002999100269919024,1.0,182,-0.0665721671880431,-0.10227272727272729,-0.014638846991788121,0.11538461538461539,0.01098901098901099,0.0004712324002824138,-0.000508221303852396,0.0014023253749889057,0.41208791208791207,0.0,-0.0017347642085980518,-0.0024514014192852556,-0.0004650873611837318,-0.06605291219601442,-0.08450560639033929,-0.03837061035256685,0.04838709677419355,0.01355979266938171,0.08712121212121213,0.0
all,16S_rRNA,0.0009990009990009992,0.0,182,0.12345679012345678,0.04705101693599373,0.16438356164383566,0.9395604395604396,0.038461538461538464,-2.9527385468335206e-05,-7.695538413779977e-05,6.998602713810756e-05,0.5879120879120879,0.005494505494505495,2.44911841785648e-05,1.3553914082168743e-05,3.9155002494667566e-05,0.17595662022689937,0.12360088032406538,0.2519331680770105,-0.19741248097412478,-0.3275048358712568,-0.10702702702702703,0.005494505494505495
all,16S_rRNA,0.0009990009990009992,1.0,182,-0.0396261373678129,-0.10656996988518726,-0.009602315101732123,0.14835164835164835,0.027472527472527472,0.0004066478129083903,-0.00045526577217230125,0.0014255381611376996,0.3956043956043956,0.01098901098901099,-0.0017063719497815032,-0.002441961268735281,-0.00045828380876964677,-0.037038571039362284,-0.04698241219907996,-0.01962653144022164,0.014492753623188406,0.0,0.03825692379909247,0.01098901098901099
all,16S_rRNA,0.0029910269192422734,0.0,182,0.1394521094435216,0.06474615717687807,0.19659385412810076,0.945054945054945,0.027472527472527472,4.69558276095048e-05,-0.00010923664070020683,0.00011950947776557267,0.42857142857142855,0.0,5.135639169830839e-05,2.8016129096310472e-05,6.279545485970842e-05,0.1947171034645839,0.13879001016594766,0.26052517814095716,-0.21494216166347313,-0.37464985326547073,-0.11492331940038933,0.0
all,16S_rRNA,0.0029910269192422734,1.0,182,-0.032775301727672,-0.07596951502494491,-0.001060028117607803,0.2087912087912088,0.038461538461538464,0.0003948586355562981,-0.00036175801922931107,0.001422858610513475,0.3901098901098901,0.01098901098901099,-0.0016969547948891867,-0.002438234098181349,-0.00041538166374652767,-0.026161120038016267,-0.03213591885791278,-0.011196030568995416,0.0,0.0,0.014084507042253521,0.01098901098901099
all,16S_rRNA,0.009900990099009901,0.0,182,0.14954661401489494,0.06428472094911677,0.21010736764161425,0.9505494505494505,0.02197802197802198,-0.0001222084917833564,-0.0004460803622902969,0.00017891784567816542,0.6538461538461539,0.0,9.149461829661089e-05,5.581077573362464e-05,0.00013294797277451376,0.21007459087071084,0.14727935826801852,0.2698469211783364,-0.21856340007024938,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.009900990099009901,1.0,182,-0.02228624511444921,-0.05720810737385454,0.0,0.19230769230769232,0.07142857142857142,0.0002812843498030326,-0.0002604510528835499,0.0011130288669480386,0.3516483516483517,0.03296703296703297,-0.0016236667787786936,-0.002354966399586182,-0.0003474277026347304,-0.017228209563990154,-0.022813118005482025,-0.005770041481864316,0.0,0.0,0.0,0.03296703296703297
all,16S_rRNA,0.029126213592233007,0.0,182,0.15176880063905054,0.06131391433660457,0.22344189422117394,0.9395604395604396,0.03296703296703297,-0.0002245261382673191,-0.000688685471606072,0.00018613612815871118,0.6703296703296703,0.0,0.0002290525189527734,9.817252472020249e-05,0.0002797871653102542,0.21869192761792727,0.15261622033749966,0.27526169005749784,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.029126213592233007,1.0,182,-0.015365595196043746,-0.04665304207987139,0.0,0.11538461538461539,0.15934065934065933,0.0002609231690418306,-0.00032531474171629114,0.0008920206066001827,0.32967032967032966,0.12637362637362637,-0.0014495926682009973,-0.002272939310855552,-0.0002840968977137276,-0.010749828422242952,-0.017392378662622776,-0.002240178873501933,0.0,0.0,0.0,0.12637362637362637
all,16S_rRNA,0.09090909090909091,0.0,182,0.16267564747177693,0.06461009567318657,0.26689945384546515,0.9505494505494505,0.02197802197802198,-0.0004894937793132059,-0.0014615824806545833,0.00022871421646605784,0.6263736263736264,0.0,0.0006484015164921116,0.000208769614466077,0.001052178711857742,0.22883786460033115,0.15261622033749966,0.28592502903023764,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.09090909090909091,1.0,182,-0.008318478906714222,-0.01031156940308453,0.0,0.13736263736263737,0.19230769230769232,0.00024390943786048382,-0.0003627469910314002,0.00038299925001686157,0.2967032967032967,0.18681318681318682,-0.0010669363674418746,-0.0018683738387256725,-0.00015519399423225656,-0.0032402698211929093,-0.006729039689882976,-0.0005286340925625549,0.0,0.0,0.0,0.18681318681318682
all,16S_rRNA,0.23076923076923075,0.0,182,0.16511404622809245,0.0713745170357882,0.28478731074260993,0.9560439560439561,0.02197802197802198,-0.0005983607198850104,-0.0016778952931140738,0.00027798310703481155,0.6318681318681318,0.0,0.0010319847631570106,0.00029347093969437824,0.002243405454800715,0.23219274549443697,0.15437276807303868,0.2924660175079836,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.23076923076923075,1.0,182,0.0,-0.005260162423381648,0.005630502889861194,0.2857142857142857,0.34615384615384615,0.0,-1.1151439857393607e-05,0.0002060839100639382,0.25274725274725274,0.33516483516483514,-0.00019162722832464672,-0.0012209230431246098,0.0,-0.00018805121213699705,-0.001250879144638506,0.0,0.0,0.0,0.0,0.33516483516483514
all,16S_rRNA,0.5,0.0,182,0.1649115012855937,0.07505331088664424,0.2799713492703017,0.978021978021978,0.005494505494505495,-0.0004051996640973297,-0.0016778952931140738,0.0003511516070631133,0.6098901098901099,0.0,0.0013801180936838203,0.0003883538433945923,0.0023113410486531303,0.23235558997457423,0.15459609977409436,0.2926370511053402,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.5,1.0,182,0.0,0.0,0.0,0.23076923076923078,0.5384615384615384,0.0,0.0,0.00021586637414925183,0.15934065934065933,0.532967032967033,0.0,-0.00020903991053449064,0.0,0.0,-5.7600265631757575e-05,0.0,0.0,0.0,0.0,0.532967032967033
all,16S_rRNA,0.75,0.0,182,0.1666370737983641,0.07505331088664424,0.2799713492703017,0.978021978021978,0.005494505494505495,-0.00040225699920723755,-0.0016778952931140738,0.0004999101784818113,0.5824175824175825,0.0,0.0015453439241063338,0.0004759653817993296,0.0023113410486531303,0.23235558997457423,0.1547772551275253,0.2926370511053402,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,0.75,1.0,182,0.0,0.0,0.0,0.18681318681318682,0.6758241758241759,0.0,0.0,0.00012821507009192455,0.08241758241758242,0.6593406593406593,0.0,-0.00013412193689713806,0.0,0.0,-1.331805804906383e-05,0.0,0.0,0.0,0.0,0.6593406593406593
all,16S_rRNA,0.9090909090909091,0.0,182,0.16707279898420177,0.07505331088664424,0.2752179327521794,0.978021978021978,0.005494505494505495,-0.0004051996640973297,-0.0014678673594090298,0.0004999101784818113,0.5879120879120879,0.0,0.0016940191213838341,0.0004759653817993296,0.00243528168798285,0.23235558997457423,0.1547772551275253,0.2926540687201206,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
